field	count	
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,o_title,rapid_games,rapid_k,rapid_rating,rating,sex	106
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,o_title,rapid_games,rapid_k,rapid_rating,rating,sex,title	51
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,o_title,rapid_games,rapid_k,rapid_rating,rating,sex,title,w_title	48
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,o_title,rating,sex	60
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,o_title,rating,sex,title	22
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,o_title,rating,sex,title,w_title	22
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating	1
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex	6368
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex,title	418
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rapid_games,rapid_k,rapid_rating,rating,sex,title,w_title	857
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rating,sex	3315
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rating,sex,title	246
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,k,name,rating,sex,title,w_title	299
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,name,rapid_games,rapid_k,rapid_rating,rating,sex	3
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,games,name,rating,sex	5
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,name,o_title,rapid_games,rapid_k,rapid_rating,sex	1
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,name,o_title,sex	1
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,name,rapid_games,rapid_k,rapid_rating,sex	128
birthday,blitz_games,blitz_k,blitz_rating,country,fideid,flag,name,sex	244
