name	country	gender	age	expected rating	actual rating	rating surplus
1. Karpov, Anatoly	RUS	M	64	1855	2628	772
2. Afromeev, Vladimir	RUS	M	61	1887	2646	759
3. Huebner, Robert	GER	M	67	1832	2588	755
4. Beliavsky, Alexander G	SLO	M	62	1879	2622	743
5. Mecking, Henrique	BRA	M	63	1868	2606	737
6. Vaganian, Rafael A	ARM	M	64	1855	2577	721
7. Alburt, Lev O	USA	M	70	1818	2539	720
8. Ljubojevic, Ljubomir	SRB	M	65	1856	2571	714
9. Nunn, John D M	ENG	M	60	1888	2597	708
10. Timman, Jan H	NED	M	64	1855	2562	706
11. Dzindzichashvili, Roman	USA	M	71	1843	2550	706
12. Tukmakov, Vladimir B	UKR	M	69	1833	2540	706
13. Ribli, Zoltan	HUN	M	64	1855	2559	703
14. Dorfman, Iossif	FRA	M	63	1868	2567	698
15. Kavalek, Lubomir	USA	M	72	1832	2527	695
16. Spassky, Boris V.	RUS	M	78	1854	2548	693
17. Sosonko, Gennadi	NED	M	72	1832	2520	688
18. Gulko, Boris F	USA	M	68	1853	2537	683
19. Rashkovsky, Nukhim N	RUS	M	69	1833	2515	681
20. Kurajica, Bojan	BIH	M	68	1853	2527	673
21. Smejkal, Jan	CZE	M	69	1833	2504	670
22. Pinter, Jozsef	HUN	M	62	1879	2543	664
23. Matanovic, Aleksandar	SRB	M	85	1830	2490	660
24. Vaisser, Anatoly	FRA	M	66	1855	2515	659
25. Krogius, Nikolai V	RUS	M	85	1830	2485	655
26. Andersson, Ulf	SWE	M	64	1855	2510	654
27. Viktorov, Alexandr G	RUS	M	66	1855	2510	654
28. Zilberstein, David	ITA	M	74	1846	2500	653
29. Dydyshko, Viacheslav	BLR	M	66	1855	2506	650
30. Giorgadze, Tamaz	GEO	M	68	1853	2504	650
31. Sveshnikov, Evgeny	LAT	M	65	1856	2504	647
32. Adorjan, Andras	HUN	M	65	1856	2504	647
33. Beim, Valeri	AUT	M	65	1856	2502	645
34. Pfleger, Helmut, Dr.	GER	M	72	1832	2477	645
35. Spraggett, Kevin	CAN	M	61	1887	2529	642
36. Makarichev, Sergey	RUS	M	62	1879	2520	641
37. Liu, Wenzhe	CHN	M	75	1835	2473	637
38. Alexandria, Nana	GEO	F	66	1706	2342	635
39. Parma, Bruno	SLO	M	74	1846	2480	633
40. Levitina, Irina S	USA	F	61	1776	2405	628
41. Rogoff, Kenneth S	USA	M	62	1879	2505	626
42. Genkovich, Anatoliy	UKR	M	95	1744	2370	625
43. Khasin, Alexander	RUS	M	64	1855	2481	625
