cnt	birthday	blitz_games	blitz_k	blitz_rating	country	fideid	flag	games	k	name	o_title	rapid_games	rapid_k	rapid_rating	rating	sex	title	w_title
1	1994	0	20	2704	CHN	8602980	w	0	10	Hou, Yifan		0	20	2614	2671	F	GM	WGM
2	1991	0	20	2535	CHN	8603006	w	0	10	Ju, Wenjun		0	20	2540	2542	F	GM	WGM
3	1985	0	20	2552	CHN	8601283	w	0	10	Zhao, Xue		0	20	2506	2524	F	GM	WGM
4	1991	0	20	2524	CHN	8603642	w	0	10	Tan, Zhongyi		0	20	2450	2492	F	WGM	WGM
5	1989	0	20	2337	CHN	8603162	w	0	10	Shen, Yang		0	20	2439	2460	F	IM	WGM
6	1986	0	20	2455	CHN	8602689	w	0	10	Huang, Qian		0	20	2443	2438	F	WGM	WGM
7	1991	0	20	2408	CHN	8602972	w	0	10	Ding, Yixin		0	20	2339	2435	F	WGM	WGM
8	1995	0	20	2396	CHN	8604002	w	0	10	Guo, Qi		0	20	2426	2427	F	IM	WGM
9	1989	0	20	2294	CHN	8603219	w	0	10	Zhang, Xiaowen		0	20	2390	2377	F	WGM	WGM
10	1995	0	20	2505	CHN	8604070	w	0	10	Wang, Jue		0	20	2442	2348	F	WGM	WGM
11	1985				CHN	8602611	w	0	20	Gu, Xiaobing					2286	F	WGM	WGM
12	1985				CHN	8602905	w	0	20	Zhou, Guijue		0	20	2178	2247	F	WIM	WIM
13	1980				CHN	8602409	w	0	20	Liu, Xianglin	FI				2199	F		
14	1990				CHN	8603073	w	0	20	Wang, Xiaohui					2186	F	WIM	WIM
15	1982				CHN	3403963	w	0	20	Yu, Ting					2184	F	WIM	WIM
16	1995	0	20	2011	CHN	8606137	w	0	20	Qiu, Mengjie		0	20	1979	2172	F	WFM	WFM
17	1988				CHN	8603197	w	0	20	Wang, Doudou					2165	F	WIM	WIM
18	1993	0	20	2081	CHN	8605912	w	0	20	Li, Xueyi					2125	F		
19	1990				CHN	8603960	w	0	20	Wang, Xinyue	FI				2115	F		
20	1994	0	20	2139	CHN	8604096	w	0	20	Xu, Huahua					2109	F	WIM	WIM
21	1984	0	20	2020	CHN	8605262	w	0	20	Wang, Shanshan					2076	F		
22	1994	0	20	2041	CHN	8604789	w	0	20	Liu, Hongyan		0	20	1972	2064	F		
23	1994	0	20	1999	CHN	8604770	w	0	20	Zhu, Ying		0	20	1999	2062	F		
24	1993				CHN	8604150	w	0	20	Sun, Fanghui					2059	F		
25	1989				CHN	8603707	w	3	20	Xu, Ruoying					2031	F		
26	1994				CHN	8600791	w	0	20	Qin, Ranran					1988	F		
27	1990	0	20	1960	CHN	8606099	w	0	20	Xu, Fei					1937	F		
28	1993				CHN	8604797	w	0	20	Deng, Siyu	FI				1934	F		
29	1993				CHN	8605220	w	0	20	Peng, Tianlu		0	20	1999	1855	F		
30	1982				CHN	8611599	w	0	40	Chen, Qingxia					1752	F		
