cnt	birthday	blitz_games	blitz_k	blitz_rating	country	fideid	flag	games	k	name	o_title	rapid_games	rapid_k	rapid_rating	rating	sex	title	w_title
1	1980	0	20	2414	HUN	12400149	w	0	10	Hoang, Thanh Trang		0	20	2425	2464	F	GM	WGM
2	1984				HUN	717444	w	8	20	Gara, Ticia		0	20	2319	2370	F	WGM	WGM
3	1979				HUN	723894	w	0	10	Vajda, Szidonia		0	20	2281	2352	F	IM	WGM
4	1977				HUN	705136	w	0	10	Medvegy, Nora Dr.					2348	F	IM	WGM
5	1987				HUN	722855	w	0	20	Rudolf, Anna	FI				2329	F	IM	WGM
6	1983				HUN	709751	w	1	10	Gara, Anita					2312	F	IM	WGM
7	1993	0	20	2254	HUN	739049	w	2	20	Papp, Petra		0	20	2293	2290	F	WGM	WGM
8	1983	0	20	2230	HUN	711985	w	1	20	Goczo, Melinda					2278	F	WIM	WIM
9	1978				HUN	705128	w	0	10	Lakos, Nikoletta		0	20	2260	2277	F	WGM	WGM
10	1987				HUN	721530	w	0	20	Schneider, Veronika					2256	F	WGM	WGM
11	1994				HUN	704814	w	0	20	Havanecz, Bianka		0	20	2108	2252	F	WIM	WIM
12	1986	0	20	2139	HUN	724130	w	0	20	Toth, Lili Dr.					2199	F	WIM	WIM
13	1992				HUN	727458	w	9	20	Erdos, Boglarka					2192	F		
14	1995	0	20	2108	HUN	743585	w	1	20	Juhasz, Barbara		0	20	2149	2182	F	WFM	WFM
15	1988	0	20	2207	HUN	932353	w	1	20	Domany, Zsofia					2178	F	WIM	WIM
16	1991	0	20	2099	HUN	728306	w	0	20	Dudas, Eszter		0	20	2222	2145	F	WIM	WIM
17	1994	0	20	2269	HUN	733210	w	0	20	Varga, Klara		0	20	2146	2140	F	WIM	WIM
18	1990				HUN	728918	w	0	20	Ruszin, Anna		0	20	2084	2139	F		
19	1990				HUN	730343	w	0	20	Toth, Sarolta					2115	F	WFM	WFM
20	1995				HUN	700827	w	2	20	Bea, Boglarka					2095	F	WFM	WFM
21	1985				HUN	718092	w	2	20	Tibenszkyne Kiss, Emese					2085	F	WFM	WFM
22	1985	0	20	1969	HUN	723010	w	0	20	Hidegh, Eszter					2084	F		
23	1983	0	20	2080	HUN	724980	w	0	20	Medvegyne Balogh, Emese		0	20	2094	2077	F	WFM	WFM
24	1977				HUN	705810	w	0	20	Albert, Kornelia					2073	F	WFM	WFM
25	1992				HUN	734004	w	0	20	Hitter, Gabriella		0	20	2093	2046	F		
26	1982				HUN	725242	w	0	20	Csiszar, Viktoria					2038	F		
27	1992				HUN	729159	w	1	20	Tanacs, Anna					2031	F	WFM	WFM
28	1985				HUN	724955	w	0	20	Remete, Eszter		0	20	2006	2027	F		
29	1978				HUN	715280	w	1	20	Lendvai, Edit					2016	F		
30	1982				HUN	720550	w	0	20	Reskone Timko, Melinda					2013	F		
31	1993				HUN	739090	w	0	20	Fur, Katinka					1997	F		
32	1981				HUN	709107	w	0	20	Kiss, Judit					1993	F		
33	1986				HUN	727318	w	1	20	Tako, Helga					1979	F		
34	1991				HUN	731056	w	0	20	Manyoki, Anna					1957	F		
35	1994				HUN	730327	w	0	20	Dudas, Szilvia		0	20	1920	1954	F		
36	1981				HUN	720259	w	3	20	Bagdi, Timea					1948	F	WCM	WCM
