age	age in 5 year steps	rated males	average rating males	rated females	average rating females	male GMs	female GMs
1		1	1490.0		N/A		
2			N/A		N/A		
3			N/A		N/A		
4			N/A		N/A		
5	5	5	1250.8	1	1394.0		
6		32	1169.0	4	1132.8		
7		171	1214.8	27	1194.4		
8		560	1258.2	135	1208.6		
9		1267	1319.7	300	1261.7		
10	10	1975	1365.2	566	1300.0		
11		2862	1401.3	805	1338.7		
12		3302	1446.6	918	1361.3		
13		3964	1482.0	1073	1406.1		
14		4398	1522.3	1140	1459.6		
15	15	4509	1581.9	1157	1513.8	2	
16		4464	1625.6	1083	1549.3	4	
17		4249	1675.9	1048	1590.8	4	
18		3965	1721.1	967	1630.9	7	
19		3851	1744.1	898	1665.7	5	
20	20	3672	1777.2	764	1698.9	17	
21		3413	1798.9	735	1736.4	15	1
22		3454	1811.0	690	1744.0	21	
23		3294	1842.6	630	1775.8	21	1
24		3224	1861.8	556	1823.4	32	2
25	25	3296	1880.3	558	1822.2	39	1
26		3314	1905.0	514	1874.7	33	2
27		3070	1919.9	426	1899.1	46	1
28		2947	1935.0	444	1919.8	44	2
29		2878	1943.3	377	1936.2	44	2
30	30	2916	1932.0	328	1927.8	44	3
31		2783	1940.8	286	1942.4	31	1
32		2689	1944.1	234	1971.9	49	2
33		2736	1929.4	226	1945.2	31	
34		2723	1922.1	210	1910.3	35	
35	35	2782	1918.9	180	1923.8	39	1
36		2900	1924.9	179	1929.5	39	2
37		2750	1919.7	167	1910.7	36	2
38		2681	1925.8	171	1942.0	33	
39		2797	1920.8	172	1950.5	39	3
40	40	2820	1911.5	162	1872.3	35	
41		3010	1918.4	156	1905.1	40	
42		2985	1912.4	134	1900.1	34	
43		3082	1921.7	117	1866.4	30	
44		3188	1915.1	145	1836.9	38	
45	45	3312	1917.1	136	1846.4	32	1
46		3146	1921.3	120	1870.4	40	1
47		3350	1916.1	126	1841.8	34	2
48		3292	1922.3	128	1862.9	33	
49		3279	1917.9	103	1811.1	31	
50	50	3356	1922.6	116	1857.4	27	
51		3345	1919.9	109	1878.2	34	
52		3380	1922.0	111	1892.5	29	1
53		3167	1918.1	87	1853.3	32	
54		3073	1910.9	99	1867.4	20	1
55	55	3100	1919.1	76	1796.9	28	
56		2979	1915.4	70	1834.3	24	
57		2898	1908.3	75	1768.1	29	
58		2744	1906.2	72	1797.4	14	
59		2618	1900.3	64	1824.9	19	
60	60	2415	1888.2	62	1784.6	12	
61		2277	1887.0	51	1776.9	6	
62		2046	1879.0	51	1755.5	13	
63		1976	1868.8	39	1686.3	8	
64		1854	1855.4	42	1833.5	11	
65	65	1813	1856.6	45	1705.3	13	
66		1689	1855.7	50	1706.3	11	
67		1642	1832.2	37	1713.8	3	
68		1656	1853.7	46	1670.4	12	
69		1428	1833.9	44	1730.4	8	
70	70	1164	1818.9	28	1857.7	5	
71		1091	1843.7	26	1842.7	8	
72		1020	1832.0	30	1769.7	7	
73		931	1850.5	32	1755.7	4	
74		949	1846.7	34	1753.1	2	1
75	75	931	1835.6	35	1696.6	3	
76		893	1826.6	21	1739.0	2	
77		853	1853.5	25	1734.2	2	
78		847	1854.1	20	1722.7	5	
79		679	1850.0	24	1634.5	3	
80	80	603	1871.4	17	1785.1	5	
81		538	1861.5	8	1698.9	1	
82		409	1851.6	5	1700.4	4	
83		324	1859.8	8	1766.1	2	
84		311	1879.1	9	1795.8	3	
85	85	242	1830.0	3	1537.7	2	
86		186	1850.3	10	1809.6	1	
87		125	1807.2	11	1806.6	1	
88		98	1785.8	5	1922.2		
89		79	1801.3	6	1900.7	1	
90	90	45	1831.0	2	1515.0		
91		49	1766.4	1	1663.0		
92		37	1838.6	1	1472.0		
93		29	1914.9	2	1677.0	1	
94		28	1822.2	2	2029.5		
95	95	17	1744.2	1	2030.0		
96		7	1861.7		N/A		
97		3	1988.0		N/A		
98		4	1877.5		N/A		
99		1	1928.0		N/A		
100	100	3	1786.0		N/A		
