country	total players	males	rated males	average rating males	females	rated females	average rating females	female % of all players	female % of rated players	average rating difference
VIE	1574	988	238	1947.9	586	170	1845.6	37.23	41.67	102.3
SRI	6529	4284	1369	1426.3	2245	494	1315.5	34.39	26.52	110.8
CHN	1329	918	416	2089.1	411	211	1981.3	30.93	33.65	107.8
GEO	1735	1244	570	1824.8	491	248	1796.2	28.30	30.32	28.6
ECU	2161	1573	597	1786.6	588	192	1650.2	27.21	24.33	136.4
MAS	1822	1385	420	1797.9	437	72	1648.3	23.98	14.63	149.6
MEX	2912	2240	867	1903.6	672	197	1690.7	23.08	18.52	212.9
AZE	2091	1651	717	1782.5	440	198	1700.4	21.04	21.64	82.1
GRE	13134	10618	3325	1658.2	2516	463	1469.4	19.16	12.22	188.8
IRI	10053	8146	2670	1665.6	1907	354	1549.3	18.97	11.71	116.3
ALG	1386	1126	254	1892.7	260	58	1591.6	18.76	18.59	301.1
VEN	3237	2639	753	1853.6	598	164	1721.2	18.47	17.88	132.4
RSA	2025	1654	410	1774.2	371	100	1553.9	18.32	19.61	220.3
COL	6242	5102	1451	1907.4	1140	273	1759.1	18.26	15.84	148.3
LTU	2455	2010	642	1830.2	445	142	1737.2	18.13	18.11	93.0
KAZ	1784	1462	650	1925.1	322	147	1805.2	18.05	18.44	119.9
BLR	1060	871	501	1884.3	189	119	1890.1	17.83	19.19	-5.8
CUB	2344	1943	1382	2071.4	401	262	1946.5	17.11	15.94	124.9
POL	16017	13293	6733	1754.5	2724	1107	1612.7	17.01	14.12	141.8
PER	2189	1818	873	1788.0	371	167	1587.4	16.95	16.06	200.6
RUS	47970	39880	18383	1926.7	8090	3341	1755.1	16.86	15.38	171.6
BRA	9909	8241	3060	1877.7	1668	312	1675.3	16.83	9.25	202.4
BUL	2893	2411	1161	1906.9	482	194	1750.8	16.66	14.32	156.1
ROU	5719	4779	2594	1787.2	940	406	1670.3	16.44	13.53	116.9
SIN	1902	1603	266	1838.4	299	51	1721.8	15.72	16.09	116.6
ARM	1137	959	579	1945.4	178	106	1840.7	15.66	15.47	104.7
LAT	1193	1007	398	1915.9	186	93	1838.4	15.59	18.94	77.5
TUR	18907	16268	3376	1616.5	2639	401	1482.0	13.96	10.62	134.5
SLO	3780	3270	981	1885.2	510	148	1707.3	13.49	13.11	177.9
IND	48572	42132	16748	1475.5	6440	1943	1389.3	13.26	10.40	86.2
POR	4812	4195	1396	1700.7	617	123	1550.7	12.82	8.10	150.0
FRA	41350	36208	14516	1728.1	5142	1306	1518.1	12.44	8.25	210.0
CHI	2628	2312	1146	1910.1	316	80	1673.4	12.02	6.53	236.7
CRO	6112	5420	2291	1921.0	692	186	1741.9	11.32	7.51	179.1
UKR	7218	6418	2692	2040.1	800	392	1925.0	11.08	12.71	115.1
HUN	9136	8145	4873	1856.8	991	443	1735.8	10.85	8.33	121.0
CAN	1449	1313	662	2036.8	136	71	1836.7	9.39	9.69	200.1
AUS	2367	2149	1071	1835.7	218	105	1731.8	9.21	8.93	103.9
SRB	7199	6536	3590	2016.9	663	319	1855.4	9.21	8.16	161.5
BIH	1319	1201	601	2027.6	118	48	1826.3	8.95	7.40	201.3
EGY	3087	2818	996	1907.0	269	51	1682.9	8.71	4.87	224.1
SVK	5840	5371	2614	1840.2	469	150	1730.9	8.03	5.43	109.3
BAN	1225	1132	484	1840.9	93	38	1671.9	7.59	7.28	169.0
ITA	14065	13011	6691	1794.9	1054	299	1649.4	7.49	4.28	145.5
ESP	35656	33024	16051	1782.3	2632	835	1589.9	7.38	4.94	192.4
ISL	1495	1386	447	1871.9	109	24	1776.2	7.29	5.10	95.7
GER	30614	28423	19178	1951.5	2191	1177	1788.8	7.16	5.78	162.7
ISR	2511	2337	1178	2018.9	174	85	1868.1	6.93	6.73	150.8
ENG	4609	4310	2279	1931.5	299	141	1778.9	6.49	5.83	152.6
NEP	1181	1106	375	1735.4	75	13	1623.3	6.35	3.35	112.1
USA	12372	11591	3804	2033.5	781	243	1877.0	6.31	6.00	156.5
CZE	9684	9084	5578	1873.7	600	316	1742.8	6.20	5.36	130.9
ARG	3710	3494	2038	1939.5	216	109	1815.7	5.82	5.08	123.8
BEL	5139	4843	1988	1830.7	296	84	1631.8	5.76	4.05	198.9
NOR	3248	3075	1450	1831.7	173	85	1728.2	5.33	5.54	103.5
AUT	5357	5076	2642	1950.4	281	132	1759.2	5.25	4.76	191.2
SWE	3841	3643	1857	1950.5	198	69	1834.3	5.15	3.58	116.2
NED	5436	5167	2896	1996.9	269	167	1876.0	4.95	5.45	120.9
SUI	3396	3263	1927	1907.8	133	62	1776.2	3.92	3.12	131.6
FIN	1406	1351	770	1995.7	55	28	1749.0	3.91	3.51	246.7
DEN	5868	5719	2626	1860.8	149	47	1776.5	2.54	1.76	84.3
