country	total players	males	rated males	average rating males	females	rated females	average rating females	female % of all players	female % of rated players	average rating difference
SRI	997	662	256	1635.8	335	58	1470.7	33.60	18.47	165.1
MEX	948	707	168	1987.0	241	51	1720.6	25.42	23.29	266.4
IRI	3428	2565	743	1732.4	863	73	1577.3	25.18	8.95	155.1
GEO	266	205	82	2048.7	61	35	2182.4	22.93	29.91	-133.7
LTU	418	338	86	1960.3	80	26	1951.2	19.14	23.21	9.1
GRE	3196	2618	779	1776.3	578	92	1669.3	18.09	10.56	107.0
BUL	518	428	149	1993.9	90	24	2022.3	17.37	13.87	-28.4
AZE	279	231	103	2000.8	48	17	2059.7	17.20	14.17	-58.9
POL	3215	2671	990	1862.3	544	135	1843.1	16.92	12.00	19.2
RUS	6290	5244	1651	2047.9	1046	282	1961.0	16.63	14.59	86.9
CUB	747	629	305	2119.8	118	34	2089.7	15.80	10.03	30.1
DOM	552	465	121	1957.6	87	12	1738.5	15.76	9.02	219.1
COL	2004	1698	271	1990.6	306	46	1883.4	15.27	14.51	107.2
VEN	1000	852	236	1895.2	148	28	1873.7	14.80	10.61	21.5
BRA	3279	2800	728	1891.1	479	71	1712.8	14.61	8.89	178.3
PER	457	394	118	1937.7	63	11	1936.0	13.79	8.53	1.7
ARM	274	237	103	2123.7	37	20	1973.8	13.50	16.26	149.9
KAZ	327	283	97	2035.7	44	18	1962.8	13.46	15.65	72.9
ROU	836	725	322	1928.8	111	36	1968.9	13.28	10.06	-40.1
SRB	1267	1101	459	2066.5	166	47	1945.3	13.10	9.29	121.2
RSA	648	564	113	1859.8	84	12	1618.8	12.96	9.60	241.0
FRA	9000	7837	2443	1844.4	1163	227	1721.6	12.92	8.50	122.8
HUN	2012	1759	858	1959.1	253	86	1876.3	12.57	9.11	82.8
SLO	576	505	156	2020.9	71	21	1987.4	12.33	11.86	33.5
UKR	1542	1352	327	2150.4	190	61	2088.1	12.32	15.72	62.3
TUR	5387	4749	905	1691.1	638	68	1642.1	11.84	6.99	49.0
GER	5158	4610	2163	1994.1	548	203	1874.8	10.62	8.58	119.3
CRO	1064	952	405	2001.2	112	30	1887.4	10.53	6.90	113.8
POR	1213	1096	252	1796.9	117	16	1663.1	9.65	5.97	133.8
CHI	878	795	274	1903.4	83	17	1773.9	9.45	5.84	129.5
EGY	1316	1201	335	1882.4	115	16	1700.5	8.74	4.56	181.9
ITA	2793	2561	877	1848.1	232	45	1755.8	8.31	4.88	92.3
SVK	1491	1376	620	1911.0	115	38	1905.9	7.71	5.78	5.1
IND	11455	10585	2975	1480.2	870	117	1642.9	7.59	3.78	-162.7
ESP	8200	7611	2643	1874.1	589	112	1777.3	7.18	4.07	96.8
CZE	2183	2032	1139	1958.4	151	71	1857.1	6.92	5.87	101.3
AUT	1081	1007	426	1987.0	74	31	1879.3	6.85	6.78	107.7
AUS	504	471	146	1867.4	33	13	1918.2	6.55	8.18	-50.8
ARG	1088	1018	472	1897.7	70	28	1943.3	6.43	5.60	-45.6
ENG	896	841	298	1999.7	55	20	1967.1	6.14	6.29	32.6
NED	1232	1157	610	2066.8	75	36	1985.1	6.09	5.57	81.7
BEL	1451	1367	496	1893.5	84	16	1864.1	5.79	3.13	29.4
NOR	832	785	304	1872.7	47	22	1831.5	5.65	6.75	41.2
CAN	393	371	119	2050.7	22	2	2062.0	5.60	1.65	-11.3
USA	3310	3132	542	2040.6	178	25	2063.1	5.38	4.41	-22.5
SWE	833	789	388	1991.9	44	16	1914.8	5.28	3.96	77.1
SUI	611	579	280	1986.5	32	9	1722.8	5.24	3.11	263.7
BAN	606	578	194	1829.3	28	9	1705.0	4.62	4.43	124.3
ISR	512	491	231	2093.7	21	10	2066.9	4.10	4.15	26.8
DEN	906	870	336	1919.2	36	14	1809.9	3.97	4.00	109.3
FIN	304	295	166	2057.1	9	3	1964.0	2.96	1.78	93.1
totavgr male	1881.62000496401	totavgr female	1828.50385776585
