field	value
country
AFG	117
AHO	127
ALB	227
ALG	1644
AND	104
ANG	500
ARG	5773
ARM	1152
ARU	77
AUS	2850
AUT	5406
AZE	2203
BAH	82
BAN	2203
BAR	375
BDI	24
BEL	5143
BER	86
BHU	55
BIH	1354
BLR	1423
BOL	1489
BOT	1248
BRA	9990
BRN	285
BRU	194
BUL	2938
BUR	5
CAF	36
CAM	6
CAN	2544
CGO	14
CHI	2954
CHN	1781
CIV	25
CMR	66
COL	6279
COM	16
CRC	1062
CRO	6123
CUB	2351
CYP	444
CZE	9705
DEN	5889
DOM	1859
ECU	3022
EGY	3839
ENG	4911
ERI	40
ESA	650
ESP	36112
EST	897
ETH	227
FAI	225
FID	793
FIJ	152
FIN	1407
FRA	41450
GAB	16
GAM	36
GCI	23
GEO	1835
GER	30708
GHA	79
GRE	15017
GUA	252
GUM	50
GUY	47
HAI	50
HKG	460
HON	306
HUN	9153
INA	1015
IND	51567
IRI	15316
IRL	1041
IRQ	1232
ISL	1505
ISR	2574
ISV	27
ITA	14109
IVB	9
Ind	2
JAM	268
JCI	172
JOR	961
JPN	235
KAZ	2130
KEN	732
KGZ	320
KOR	640
KOS	173
KSA	584
KUW	161
LAO	60
LAT	1238
LBA	695
LES	52
LIB	583
LIE	22
LTU	2499
LUX	488
MAC	70
MAD	221
MAR	871
MAS	2782
MAW	279
MDA	740
MDV	85
MEX	3269
MGL	548
MKD	501
MLI	23
MLT	214
MNC	87
MNE	710
MOZ	48
MRI	33
MTN	161
MYA	411
NAM	89
NCA	589
NED	5448
NEP	1406
NGR	683
NOR	3289
NZL	621
OMA	245
PAK	242
PAN	346
PAR	595
PER	3483
PHI	2248
PLE	437
PLW	140
PNG	18
POL	16096
POR	4832
PUR	589
QAT	109
ROU	5757
RSA	2163
RUS	49490
RWA	35
SCO	640
SEN	15
SEY	36
SIN	2057
SLE	9
SLO	3861
SMR	15
SOL	35
SOM	38
SRB	7220
SRI	7430
STP	18
SUD	255
SUI	3495
SUR	282
SVK	5910
SWE	3940
SWZ	30
SYR	713
TAN	62
THA	553
TJK	146
TKM	394
TLS	34
TOG	83
TPE	134
TTO	490
TUN	739
TUR	19615
UAE	1762
UGA	362
UKR	7387
URU	867
USA	12534
UZB	974
VEN	3883
VIE	1664
WLS	440
YEM	274
ZAM	764
ZIM	341
flag
	388166
i	84138
w	58344
wi	9251
sex
	1004
F	67595
M	471292
w	8
