rank	name	country	gender	birthday	rating	age	title
1.	Carlsen, Magnus 	NOR	M	1990	2850	25	GM
2.	Nakamura, Hikaru 	USA	M	1987	2816	28	GM
3.	Topalov, Veselin 	BUL	M	1975	2813	40	GM
4.	Kasparov, Garry 	RUS	M	1963	2812	52	GM
5.	Anand, Viswanathan 	IND	M	1969	2803	46	GM
6.	Giri, Anish 	NED	M	1994	2798	21	GM
7.	Caruana, Fabiano 	USA	M	1992	2796	23	GM
8.	Aronian, Levon 	ARM	M	1982	2784	33	GM
9.	Ding, Liren 	CHN	M	1992	2782	23	GM
10.	Kramnik, Vladimir 	RUS	M	1975	2777	40	GM
11.	Grischuk, Alexander 	RUS	M	1983	2774	32	GM
12.	Karjakin, Sergey 	RUS	M	1990	2762	25	GM
13.	So, Wesley 	USA	M	1993	2760	22	GM
14.	Tomashevsky, Evgeny 	RUS	M	1987	2758	28	GM
15.	Vachier-Lagrave, Maxime 	FRA	M	1990	2758	25	GM
16.	Li, Chao b 	CHN	M	1989	2750	26	GM
17.	Jakovenko, Dmitry 	RUS	M	1983	2748	32	GM
18.	Adams, Michael 	ENG	M	1971	2742	44	GM
19.	Gelfand, Boris 	ISR	M	1968	2741	47	GM
20.	Radjabov, Teimour 	AZE	M	1987	2738	28	GM
21.	Harikrishna, P. 	IND	M	1986	2737	29	GM
22.	Mamedyarov, Shakhriyar 	AZE	M	1985	2736	30	GM
23.	Wei, Yi 	CHN	M	1999	2734	16	GM
24.	Navara, David 	CZE	M	1985	2734	30	GM
25.	Wojtaszek, Radoslaw 	POL	M	1987	2734	28	GM
26.	Dominguez Perez, Leinier 	CUB	M	1983	2732	32	GM
27.	Svidler, Peter 	RUS	M	1976	2727	39	GM
28.	Ivanchuk, Vassily 	UKR	M	1969	2726	46	GM
29.	Vitiugov, Nikita 	RUS	M	1987	2725	28	GM
30.	Wang, Yue 	CHN	M	1987	2724	28	GM
31.	Yu, Yangyi 	CHN	M	1994	2721	21	GM
32.	Andreikin, Dmitry 	RUS	M	1990	2720	25	GM
33.	Eljanov, Pavel 	UKR	M	1983	2717	32	GM
34.	Shirov, Alexei 	LAT	M	1972	2715	43	GM
35.	Wang, Hao 	CHN	M	1989	2712	26	GM
36.	Morozevich, Alexander 	RUS	M	1977	2711	38	GM
37.	Kryvoruchko, Yuriy 	UKR	M	1986	2710	29	GM
38.	Bu, Xiangzhi 	CHN	M	1985	2710	30	GM
39.	Ponomariov, Ruslan 	UKR	M	1983	2710	32	GM
40.	Leko, Peter 	HUN	M	1979	2707	36	GM
41.	Howell, David W L 	ENG	M	1990	2705	25	GM
42.	Nepomniachtchi, Ian 	RUS	M	1990	2705	25	GM
43.	Ni, Hua 	CHN	M	1983	2704	32	GM
44.	Kasimdzhanov, Rustam 	UZB	M	1979	2704	36	GM
45.	Rublevsky, Sergei 	RUS	M	1974	2702	41	GM
46.	Fressinet, Laurent 	FRA	M	1981	2702	34	GM
47.	Korobov, Anton 	UKR	M	1985	2700	30	GM
48.	Kovalenko, Igor 	LAT	M	1988	2700	27	GM
49.	Ragger, Markus 	AUT	M	1988	2698	27	GM
50.	Le, Quang Liem 	VIE	M	1991	2697	24	GM
51.	Bacrot, Etienne 	FRA	M	1983	2697	32	GM
52.	Malakhov, Vladimir 	RUS	M	1980	2694	35	GM
53.	Moiseenko, Alexander 	UKR	M	1980	2692	35	GM
54.	Almasi, Zoltan 	HUN	M	1976	2689	39	GM
55.	Matlakov, Maxim 	RUS	M	1991	2689	24	GM
56.	Vallejo Pons, Francisco 	ESP	M	1982	2684	33	GM
57.	Jobava, Baadur 	GEO	M	1983	2683	32	GM
58.	Naiditsch, Arkadij 	AZE	M	1985	2682	30	GM
59.	Cheparinov, Ivan 	BUL	M	1986	2681	29	GM
60.	Robson, Ray 	USA	M	1994	2680	21	GM
61.	Hammer, Jon Ludvig 	NOR	M	1990	2680	25	GM
62.	Kamsky, Gata 	USA	M	1974	2680	41	GM
63.	Sargissian, Gabriel 	ARM	M	1983	2679	32	GM
64.	Nisipeanu, Liviu-Dieter 	GER	M	1976	2678	39	GM
65.	Short, Nigel D 	ENG	M	1965	2678	50	GM
66.	Saric, Ivan 	CRO	M	1990	2678	25	GM
67.	Laznicka, Viktor 	CZE	M	1988	2676	27	GM
68.	Artemiev, Vladislav 	RUS	M	1998	2675	17	GM
69.	Adhiban, B. 	IND	M	1992	2674	23	GM
70.	McShane, Luke J 	ENG	M	1984	2674	31	GM
71.	Gyimesi, Zoltan 	HUN	M	1977	2674	38	GM
